IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
141.148.235.211,443,true,FRA,Europe,Frankfurt,280 ms,1318 kB/s
144.21.48.22,443,true,FRA,Europe,Frankfurt,270 ms,1315 kB/s
144.24.166.41,443,true,FRA,Europe,Frankfurt,266 ms,1312 kB/s
152.70.185.40,443,true,FRA,Europe,Frankfurt,258 ms,1302 kB/s
89.168.72.133,443,true,FRA,Europe,Frankfurt,264 ms,1263 kB/s
130.162.234.243,443,true,FRA,Europe,Frankfurt,279 ms,1183 kB/s
193.123.63.181,443,true,FRA,Europe,Frankfurt,254 ms,1094 kB/s
84.235.174.99,443,true,FRA,Europe,Frankfurt,254 ms,1088 kB/s
158.180.239.249,2095,true,YYZ,North America,Toronto,268 ms,1087 kB/s
144.24.168.7,443,true,FRA,Europe,Frankfurt,277 ms,1087 kB/s
141.144.234.194,443,true,FRA,Europe,Frankfurt,252 ms,1020 kB/s
89.168.68.62,443,true,FRA,Europe,Frankfurt,253 ms,997 kB/s
193.123.64.217,443,true,CDG,Europe,Paris,254 ms,899 kB/s
84.235.161.207,443,true,FRA,Europe,Frankfurt,256 ms,879 kB/s
146.56.130.201,8443,true,ICN,Asia Pacific,Seoul,82 ms,726 kB/s
130.162.241.174,443,true,FRA,Europe,Frankfurt,279 ms,707 kB/s
129.159.84.71,443,true,IAD,North America,Ashburn,247 ms,697 kB/s
140.238.195.98,443,true,SYD,Oceania,Sydney,311 ms,409 kB/s
193.123.235.59,443,true,NRT,Asia Pacific,Tokyo,63 ms,320 kB/s
129.159.197.137,8443,true,FRA,Europe,Frankfurt,270 ms,217 kB/s
158.101.169.13,8443,true,FRA,Europe,Frankfurt,264 ms,99 kB/s
130.61.109.6,2053,true,FRA,Europe,Frankfurt,295 ms,45 kB/s
158.101.169.13,2053,true,FRA,Europe,Frankfurt,261 ms,42 kB/s
130.61.107.238,8443,true,FRA,Europe,Frankfurt,261 ms,40 kB/s
141.147.47.32,8443,true,FRA,Europe,Frankfurt,291 ms,36 kB/s
141.147.61.116,8443,true,FRA,Europe,Frankfurt,262 ms,33 kB/s
129.154.50.220,443,true,ICN,Asia Pacific,Seoul,127 ms,0 kB/s
152.70.235.207,443,true,NRT,Asia Pacific,Tokyo,116 ms,0 kB/s
150.230.23.233,443,true,FRA,Europe,Frankfurt,280 ms,0 kB/s
158.180.239.249,2053,true,MRS,Europe,Marseille,271 ms,0 kB/s
141.147.63.53,443,true,FRA,Europe,Frankfurt,268 ms,0 kB/s
129.146.60.210,443,true,LAX,North America,Los Angeles,301 ms,0 kB/s
132.226.7.217,443,true,NRT,Asia Pacific,Tokyo,123 ms,0 kB/s
158.101.24.17,443,true,LAX,North America,Los Angeles,247 ms,0 kB/s
